Manufacturer,Year,Month,Registrations
A B EXCAVATORS & EARTHMOVER LTD,2020,JAN,1
A B EXCAVATORS & EARTHMOVER LTD,2020,FEB,0
A B EXCAVATORS & EARTHMOVER LTD,2020,MAR,0
A B EXCAVATORS & EARTHMOVER LTD,2020,APR,0
A B EXCAVATORS & EARTHMOVER LTD,2020,MAY,0
A B EXCAVATORS & EARTHMOVER LTD,2020,JUN,0
A B EXCAVATORS & EARTHMOVER LTD,2020,JUL,0
A B EXCAVATORS & EARTHMOVER LTD,2020,AUG,1
A B EXCAVATORS & EARTHMOVER LTD,2020,SEP,7
A B EXCAVATORS & EARTHMOVER LTD,2020,OCT,0
A B EXCAVATORS & EARTHMOVER LTD,2020,NOV,1
A B EXCAVATORS & EARTHMOVER LTD,2020,DEC,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,JAN,1
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,FEB,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,MAR,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,APR,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,MAY,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,JUN,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,JUL,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,AUG,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,SEP,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,OCT,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,NOV,0
A B EXCAVATORS & EARTHMOVERS PVT LTD,2020,DEC,0
ACCRETION POWER AUTOS,2020,JAN,30
ACCRETION POWER AUTOS,2020,FEB,30
ACCRETION POWER AUTOS,2020,MAR,13
ACCRETION POWER AUTOS,2020,APR,0
ACCRETION POWER AUTOS,2020,MAY,0
ACCRETION POWER AUTOS,2020,JUN,3
ACCRETION POWER AUTOS,2020,JUL,2
ACCRETION POWER AUTOS,2020,AUG,9
ACCRETION POWER AUTOS,2020,SEP,8
ACCRETION POWER AUTOS,2020,OCT,11
ACCRETION POWER AUTOS,2020,NOV,5
ACCRETION POWER AUTOS,2020,DEC,5
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,JAN,603
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,FEB,648
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,MAR,761
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,APR,116
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,MAY,75
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,JUN,352
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,JUL,448
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,AUG,478
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,SEP,631
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,OCT,485
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,NOV,471
ACTION CONSTRUCTION EQUIPMENT LTD.,2020,DEC,576
A D AGRO WORKS,2020,JAN,7
A D AGRO WORKS,2020,FEB,10
A D AGRO WORKS,2020,MAR,9
A D AGRO WORKS,2020,APR,0
A D AGRO WORKS,2020,MAY,0
A D AGRO WORKS,2020,JUN,0
A D AGRO WORKS,2020,JUL,2
A D AGRO WORKS,2020,AUG,4
A D AGRO WORKS,2020,SEP,11
A D AGRO WORKS,2020,OCT,4
A D AGRO WORKS,2020,NOV,6
A D AGRO WORKS,2020,DEC,7
ADAPT MOTORS PVT LTD,2020,JAN,2
ADAPT MOTORS PVT LTD,2020,FEB,1
ADAPT MOTORS PVT LTD,2020,MAR,1
ADAPT MOTORS PVT LTD,2020,APR,0
ADAPT MOTORS PVT LTD,2020,MAY,0
ADAPT MOTORS PVT LTD,2020,JUN,0
ADAPT MOTORS PVT LTD,2020,JUL,0
ADAPT MOTORS PVT LTD,2020,AUG,0
ADAPT MOTORS PVT LTD,2020,SEP,0
ADAPT MOTORS PVT LTD,2020,OCT,0
ADAPT MOTORS PVT LTD,2020,NOV,0
ADAPT MOTORS PVT LTD,2020,DEC,0
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,JAN,128
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,FEB,69
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,MAR,76
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,APR,13
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,MAY,1
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,JUN,56
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,JUL,296
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,AUG,822
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,SEP,89
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,OCT,64
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,NOV,109
ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,2020,DEC,161
ADIDEV TECHNOA PVT LTD,2020,JAN,1
ADIDEV TECHNOA PVT LTD,2020,FEB,0
ADIDEV TECHNOA PVT LTD,2020,MAR,0
ADIDEV TECHNOA PVT LTD,2020,APR,0
ADIDEV TECHNOA PVT LTD,2020,MAY,0
ADIDEV TECHNOA PVT LTD,2020,JUN,0
ADIDEV TECHNOA PVT LTD,2020,JUL,0
ADIDEV TECHNOA PVT LTD,2020,AUG,0
ADIDEV TECHNOA PVT LTD,2020,SEP,8
ADIDEV TECHNOA PVT LTD,2020,OCT,1
ADIDEV TECHNOA PVT LTD,2020,NOV,4
ADIDEV TECHNOA PVT LTD,2020,DEC,0
ADISHAKTI TRACTORS,2020,JAN,1
ADISHAKTI TRACTORS,2020,FEB,0
ADISHAKTI TRACTORS,2020,MAR,1
ADISHAKTI TRACTORS,2020,APR,0
ADISHAKTI TRACTORS,2020,MAY,0
ADISHAKTI TRACTORS,2020,JUN,0
ADISHAKTI TRACTORS,2020,JUL,1
ADISHAKTI TRACTORS,2020,AUG,5
ADISHAKTI TRACTORS,2020,SEP,2
ADISHAKTI TRACTORS,2020,OCT,3
ADISHAKTI TRACTORS,2020,NOV,0
ADISHAKTI TRACTORS,2020,DEC,4
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,JAN,0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,FEB,0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,MAR,1
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,APR,0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,MAY,0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,JUN,0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,JUL,0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,AUG,0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,SEP,0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,OCT,1
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,NOV,0
ADISHWAR AUTO RIDE INDIA PVT.LTD,2020,DEC,0
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,JAN,372
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,FEB,467
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,MAR,804
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,APR,191
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,MAY,0
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,JUN,0
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,JUL,0
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,AUG,26
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,SEP,199
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,OCT,204
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,NOV,186
ADISHWAR AUTO RIDE INDIA PVT LTD,2020,DEC,161
ADITYA AGRO INDUSTRIES,2020,JAN,1
ADITYA AGRO INDUSTRIES,2020,FEB,0
ADITYA AGRO INDUSTRIES,2020,MAR,3
ADITYA AGRO INDUSTRIES,2020,APR,0
ADITYA AGRO INDUSTRIES,2020,MAY,0
ADITYA AGRO INDUSTRIES,2020,JUN,0
ADITYA AGRO INDUSTRIES,2020,JUL,5
ADITYA AGRO INDUSTRIES,2020,AUG,8
ADITYA AGRO INDUSTRIES,2020,SEP,4
ADITYA AGRO INDUSTRIES,2020,OCT,5
ADITYA AGRO INDUSTRIES,2020,NOV,9
ADITYA AGRO INDUSTRIES,2020,DEC,1
ADITYA ENTERPRISES,2020,JAN,2
ADITYA ENTERPRISES,2020,FEB,0
ADITYA ENTERPRISES,2020,MAR,0
ADITYA ENTERPRISES,2020,APR,0
ADITYA ENTERPRISES,2020,MAY,0
ADITYA ENTERPRISES,2020,JUN,0
ADITYA ENTERPRISES,2020,JUL,0
ADITYA ENTERPRISES,2020,AUG,0
ADITYA ENTERPRISES,2020,SEP,0
ADITYA ENTERPRISES,2020,OCT,0
ADITYA ENTERPRISES,2020,NOV,0
ADITYA ENTERPRISES,2020,DEC,0
ADITYA SAI INDUSTRIES,2020,JAN,10
ADITYA SAI INDUSTRIES,2020,FEB,29
ADITYA SAI INDUSTRIES,2020,MAR,2
ADITYA SAI INDUSTRIES,2020,APR,0
ADITYA SAI INDUSTRIES,2020,MAY,0
ADITYA SAI INDUSTRIES,2020,JUN,1
ADITYA SAI INDUSTRIES,2020,JUL,3
ADITYA SAI INDUSTRIES,2020,AUG,3
ADITYA SAI INDUSTRIES,2020,SEP,6
ADITYA SAI INDUSTRIES,2020,OCT,4
ADITYA SAI INDUSTRIES,2020,NOV,9
ADITYA SAI INDUSTRIES,2020,DEC,8
AFTEK MOTORS INDIA PVT LTD,2020,JAN,5
AFTEK MOTORS INDIA PVT LTD,2020,FEB,6
AFTEK MOTORS INDIA PVT LTD,2020,MAR,14
AFTEK MOTORS INDIA PVT LTD,2020,APR,3
AFTEK MOTORS INDIA PVT LTD,2020,MAY,0
AFTEK MOTORS INDIA PVT LTD,2020,JUN,0
AFTEK MOTORS INDIA PVT LTD,2020,JUL,0
AFTEK MOTORS INDIA PVT LTD,2020,AUG,0
AFTEK MOTORS INDIA PVT LTD,2020,SEP,0
AFTEK MOTORS INDIA PVT LTD,2020,OCT,1
AFTEK MOTORS INDIA PVT LTD,2020,NOV,0
AFTEK MOTORS INDIA PVT LTD,2020,DEC,0
"AFZAL ENGG WORKS,JUNAGARH",2020,JAN,4
"AFZAL ENGG WORKS,JUNAGARH",2020,FEB,5
"AFZAL ENGG WORKS,JUNAGARH",2020,MAR,8
"AFZAL ENGG WORKS,JUNAGARH",2020,APR,0
"AFZAL ENGG WORKS,JUNAGARH",2020,MAY,0
"AFZAL ENGG WORKS,JUNAGARH",2020,JUN,2
"AFZAL ENGG WORKS,JUNAGARH",2020,JUL,5
"AFZAL ENGG WORKS,JUNAGARH",2020,AUG,2
"AFZAL ENGG WORKS,JUNAGARH",2020,SEP,25
"AFZAL ENGG WORKS,JUNAGARH",2020,OCT,1
"AFZAL ENGG WORKS,JUNAGARH",2020,NOV,10
"AFZAL ENGG WORKS,JUNAGARH",2020,DEC,70
"AGNEE IRON WORKS,BARIPADA",2020,JAN,1
"AGNEE IRON WORKS,BARIPADA",2020,FEB,0
"AGNEE IRON WORKS,BARIPADA",2020,MAR,0
"AGNEE IRON WORKS,BARIPADA",2020,APR,0
"AGNEE IRON WORKS,BARIPADA",2020,MAY,0
"AGNEE IRON WORKS,BARIPADA",2020,JUN,0
"AGNEE IRON WORKS,BARIPADA",2020,JUL,0
"AGNEE IRON WORKS,BARIPADA",2020,AUG,2
"AGNEE IRON WORKS,BARIPADA",2020,SEP,8
"AGNEE IRON WORKS,BARIPADA",2020,OCT,3
"AGNEE IRON WORKS,BARIPADA",2020,NOV,4
"AGNEE IRON WORKS,BARIPADA",2020,DEC,3
AGP ENGINEERING PRODUCTS,2020,JAN,1
AGP ENGINEERING PRODUCTS,2020,FEB,0
AGP ENGINEERING PRODUCTS,2020,MAR,0
AGP ENGINEERING PRODUCTS,2020,APR,0
AGP ENGINEERING PRODUCTS,2020,MAY,0
AGP ENGINEERING PRODUCTS,2020,JUN,0
AGP ENGINEERING PRODUCTS,2020,JUL,0
AGP ENGINEERING PRODUCTS,2020,AUG,0
AGP ENGINEERING PRODUCTS,2020,SEP,2
AGP ENGINEERING PRODUCTS,2020,OCT,0
AGP ENGINEERING PRODUCTS,2020,NOV,0
AGP ENGINEERING PRODUCTS,2020,DEC,0
AGRASEN ENGINEERING WORKS,2020,JAN,1
AGRASEN ENGINEERING WORKS,2020,FEB,1
AGRASEN ENGINEERING WORKS,2020,MAR,0
AGRASEN ENGINEERING WORKS,2020,APR,0
AGRASEN ENGINEERING WORKS,2020,MAY,0
AGRASEN ENGINEERING WORKS,2020,JUN,0
AGRASEN ENGINEERING WORKS,2020,JUL,0
AGRASEN ENGINEERING WORKS,2020,AUG,0
AGRASEN ENGINEERING WORKS,2020,SEP,1
AGRASEN ENGINEERING WORKS,2020,OCT,1
AGRASEN ENGINEERING WORKS,2020,NOV,0
AGRASEN ENGINEERING WORKS,2020,DEC,0
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,JAN,1
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,FEB,0
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,MAR,0
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,APR,0
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,MAY,0
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,JUN,0
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,JUL,0
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,AUG,1
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,SEP,0
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,OCT,0
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,NOV,0
AGRAWAL RENEWABLE ENERGY PVT LTD,2020,DEC,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,JAN,7
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,FEB,3
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,MAR,6
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,APR,3
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,MAY,0
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,JUN,5
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,JUL,6
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,AUG,3
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,SEP,5
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,OCT,1
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,NOV,2
AGRI KING TRACTORS & EQUIPMENTS PVT LTD,2020,DEC,7
AGRO INDUSTRIES,2020,JAN,30
AGRO INDUSTRIES,2020,FEB,38
AGRO INDUSTRIES,2020,MAR,29
AGRO INDUSTRIES,2020,APR,1
AGRO INDUSTRIES,2020,MAY,4
AGRO INDUSTRIES,2020,JUN,25
AGRO INDUSTRIES,2020,JUL,11
AGRO INDUSTRIES,2020,AUG,21
AGRO INDUSTRIES,2020,SEP,31
AGRO INDUSTRIES,2020,OCT,29
AGRO INDUSTRIES,2020,NOV,11
AGRO INDUSTRIES,2020,DEC,29
AHITESHAM AGRO ENGINEERING,2020,JAN,2
AHITESHAM AGRO ENGINEERING,2020,FEB,0
AHITESHAM AGRO ENGINEERING,2020,MAR,0
AHITESHAM AGRO ENGINEERING,2020,APR,0
AHITESHAM AGRO ENGINEERING,2020,MAY,0
AHITESHAM AGRO ENGINEERING,2020,JUN,0
AHITESHAM AGRO ENGINEERING,2020,JUL,0
AHITESHAM AGRO ENGINEERING,2020,AUG,0
AHITESHAM AGRO ENGINEERING,2020,SEP,3
AHITESHAM AGRO ENGINEERING,2020,OCT,0
AHITESHAM AGRO ENGINEERING,2020,NOV,0
AHITESHAM AGRO ENGINEERING,2020,DEC,0
AHMED MOTORS,2020,JAN,0
AHMED MOTORS,2020,FEB,0
AHMED MOTORS,2020,MAR,0
AHMED MOTORS,2020,APR,0
AHMED MOTORS,2020,MAY,0
AHMED MOTORS,2020,JUN,0
AHMED MOTORS,2020,JUL,0
AHMED MOTORS,2020,AUG,0
AHMED MOTORS,2020,SEP,0
AHMED MOTORS,2020,OCT,0
AHMED MOTORS,2020,NOV,1
AHMED MOTORS,2020,DEC,0
AJANTA KRUSHI YANTRA,2020,JAN,7
AJANTA KRUSHI YANTRA,2020,FEB,15
AJANTA KRUSHI YANTRA,2020,MAR,5
AJANTA KRUSHI YANTRA,2020,APR,0
AJANTA KRUSHI YANTRA,2020,MAY,0
AJANTA KRUSHI YANTRA,2020,JUN,0
AJANTA KRUSHI YANTRA,2020,JUL,1
AJANTA KRUSHI YANTRA,2020,AUG,3
AJANTA KRUSHI YANTRA,2020,SEP,23
AJANTA KRUSHI YANTRA,2020,OCT,4
AJANTA KRUSHI YANTRA,2020,NOV,16
AJANTA KRUSHI YANTRA,2020,DEC,11
AJAX ENGINEERING LTD,2020,JAN,162
AJAX ENGINEERING LTD,2020,FEB,209
AJAX ENGINEERING LTD,2020,MAR,290
AJAX ENGINEERING LTD,2020,APR,59
AJAX ENGINEERING LTD,2020,MAY,33
AJAX ENGINEERING LTD,2020,JUN,93
AJAX ENGINEERING LTD,2020,JUL,183
AJAX ENGINEERING LTD,2020,AUG,105
AJAX ENGINEERING LTD,2020,SEP,165
AJAX ENGINEERING LTD,2020,OCT,138
AJAX ENGINEERING LTD,2020,NOV,142
AJAX ENGINEERING LTD,2020,DEC,180
AJAX FIORI ENGINEERING PVT LTD,2020,JAN,30
AJAX FIORI ENGINEERING PVT LTD,2020,FEB,24
AJAX FIORI ENGINEERING PVT LTD,2020,MAR,32
AJAX FIORI ENGINEERING PVT LTD,2020,APR,13
AJAX FIORI ENGINEERING PVT LTD,2020,MAY,3
AJAX FIORI ENGINEERING PVT LTD,2020,JUN,7
AJAX FIORI ENGINEERING PVT LTD,2020,JUL,15
AJAX FIORI ENGINEERING PVT LTD,2020,AUG,9
AJAX FIORI ENGINEERING PVT LTD,2020,SEP,11
AJAX FIORI ENGINEERING PVT LTD,2020,OCT,16
AJAX FIORI ENGINEERING PVT LTD,2020,NOV,14
AJAX FIORI ENGINEERING PVT LTD,2020,DEC,14
"AJAY AGRO ENTERPRISES,SBP",2020,JAN,9
"AJAY AGRO ENTERPRISES,SBP",2020,FEB,8
"AJAY AGRO ENTERPRISES,SBP",2020,MAR,9
"AJAY AGRO ENTERPRISES,SBP",2020,APR,0
"AJAY AGRO ENTERPRISES,SBP",2020,MAY,0
"AJAY AGRO ENTERPRISES,SBP",2020,JUN,12
"AJAY AGRO ENTERPRISES,SBP",2020,JUL,10
"AJAY AGRO ENTERPRISES,SBP",2020,AUG,19
"AJAY AGRO ENTERPRISES,SBP",2020,SEP,11
"AJAY AGRO ENTERPRISES,SBP",2020,OCT,5
"AJAY AGRO ENTERPRISES,SBP",2020,NOV,2
"AJAY AGRO ENTERPRISES,SBP",2020,DEC,15
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,JAN,0
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,FEB,1
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,MAR,1
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,APR,0
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,MAY,0
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,JUN,1
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,JUL,2
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,AUG,5
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,SEP,3
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,OCT,4
AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,2020,NOV,4
